county,city_market,total,phones_count,phones_pct,website_count,website_pct,email_count,email_pct,facebook_count,facebook_pct,instagram_count,instagram_pct,whatsapp_count,whatsapp_pct,youtube_count,youtube_pct,tiktok_count,tiktok_pct,open_count,open_pct,closed_pct,open_other_pct,working_hours_fill_pct
Alba,Sebeș,3,0,0.0,0,0.0,0,0.0,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0,0.0,0.0,100.0
Arad,Arad,33,29,87.88,14,42.42,5,15.15,3,9.09,4,12.12,0,0.0,0,0.0,3,9.09,28,84.85,0.0,15.15,78.79
Arges,Pitești,23,18,78.26,11,47.83,5,21.74,3,13.04,3,13.04,3,13.04,3,13.04,4,17.39,21,91.3,0.0,8.7,91.3
Bacau,Bacău,41,32,78.05,14,34.15,8,19.51,10,24.39,7,17.07,2,4.88,2,4.88,3,7.32,37,90.24,0.0,9.76,87.8
Bacau,Onești,4,4,100.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0.0,0.0,100.0
Bihor,Oradea,50,39,78.0,19,38.0,11,22.0,15,30.0,5,10.0,0,0.0,1,2.0,0,0.0,41,82.0,0.0,18.0,80.0
Brasov,Brașov,78,59,75.64,35,44.87,19,24.36,19,24.36,8,10.26,2,2.56,3,3.85,2,2.56,63,80.77,0.0,19.23,76.92
Brasov,Făgăraș,6,4,66.67,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,4,66.67,0.0,33.33,50.0
Brasov,Ghimbav,3,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,0.0,66.67,33.33
Brasov,Râșnov,5,5,100.0,2,40.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,4,80.0,0.0,20.0,80.0
Brasov,Sânpetru,2,2,100.0,2,100.0,2,100.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,1,50.0,0.0,50.0,50.0
Brasov,Săcele,3,1,33.33,0,0.0,1,33.33,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0,0.0,0.0,100.0
Brasov,Zărnești,4,3,75.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0.0,0.0,100.0
Bucuresti,București,399,344,86.22,260,65.16,102,25.56,90,22.56,70,17.54,16,4.01,31,7.77,34,8.52,339,84.96,0.0,15.04,82.71
Cluj,Baciu,1,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0.0,0.0,100.0
Cluj,Cluj-Napoca,110,100,90.91,72,65.45,32,29.09,29,26.36,26,23.64,2,1.82,1,0.91,5,4.55,94,85.45,0.0,14.55,80.91
Cluj,Dej,8,6,75.0,3,37.5,4,50.0,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,5,62.5,0.0,37.5,62.5
Cluj,Florești,15,14,93.33,9,60.0,5,33.33,4,26.67,4,26.67,2,13.33,2,13.33,0,0.0,13,86.67,0.0,13.33,86.67
Cluj,Gherla,7,4,57.14,2,28.57,1,14.29,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,6,85.71,0.0,14.29,85.71
Cluj,Turda,8,7,87.5,2,25.0,0,0.0,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,8,100.0,0.0,0.0,100.0
Constanta,Constanța,63,46,73.02,27,42.86,12,19.05,10,15.87,4,6.35,4,6.35,5,7.94,5,7.94,51,80.95,0.0,19.05,79.37
Constanta,Mangalia,8,7,87.5,1,12.5,1,12.5,2,25.0,1,12.5,0,0.0,0,0.0,0,0.0,6,75.0,0.0,25.0,75.0
Constanta,Năvodari,5,5,100.0,0,0.0,0,0.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,5,100.0,0.0,0.0,100.0
Dambovita,Târgoviște,22,16,72.73,7,31.82,2,9.09,4,18.18,6,27.27,0,0.0,0,0.0,1,4.55,18,81.82,0.0,18.18,81.82
Dolj,Craiova,34,31,91.18,11,32.35,6,17.65,9,26.47,1,2.94,0,0.0,1,2.94,0,0.0,31,91.18,0.0,8.82,91.18
Galati,Galați,25,21,84.0,8,32.0,3,12.0,7,28.0,2,8.0,0,0.0,0,0.0,0,0.0,23,92.0,0.0,8.0,92.0
Galati,Tecuci,6,3,50.0,1,16.67,1,16.67,2,33.33,0,0.0,1,16.67,0,0.0,0,0.0,4,66.67,0.0,33.33,66.67
Hunedoara,Deva,13,10,76.92,4,30.77,0,0.0,1,7.69,0,0.0,0,0.0,0,0.0,0,0.0,10,76.92,0.0,23.08,76.92
Hunedoara,Hunedoara,9,7,77.78,2,22.22,1,11.11,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,8,88.89,0.0,11.11,88.89
Hunedoara,Petroșani,7,3,42.86,0,0.0,0,0.0,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,6,85.71,0.0,14.29,71.43
Iasi,Iași,81,71,87.65,44,54.32,18,22.22,24,29.63,14,17.28,1,1.23,3,3.7,0,0.0,70,86.42,0.0,13.58,82.72
Iasi,Valea Lupului,2,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0.0,0.0,50.0
Ilfov,Bragadiru,9,8,88.89,3,33.33,2,22.22,2,22.22,2,22.22,1,11.11,0,0.0,2,22.22,8,88.89,0.0,11.11,88.89
Ilfov,Buftea,3,3,100.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0,0.0,0.0,100.0
Ilfov,Domnești,2,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0.0,50.0,50.0
Ilfov,Dudu,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,0.0
Ilfov,Mogoșoaia,2,2,100.0,2,100.0,2,100.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,2,100.0,0.0,0.0,100.0
Ilfov,Otopeni,5,4,80.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,100.0,0.0,0.0,100.0
Ilfov,Pantelimon,5,4,80.0,1,20.0,0,0.0,1,20.0,1,20.0,0,0.0,1,20.0,0,0.0,3,60.0,0.0,40.0,60.0
Ilfov,Popești-Leordeni,9,9,100.0,4,44.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,88.89,0.0,11.11,88.89
Ilfov,Roșu,3,3,100.0,2,66.67,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,3,100.0,0.0,0.0,100.0
Ilfov,Voluntari,14,12,85.71,9,64.29,0,0.0,2,14.29,1,7.14,0,0.0,0,0.0,0,0.0,12,85.71,0.0,14.29,85.71
Ilfov,Ștefăneștii de Jos,1,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0.0,0.0,100.0
Maramures,Baia Mare,42,39,92.86,14,33.33,7,16.67,11,26.19,4,9.52,0,0.0,1,2.38,0,0.0,38,90.48,0.0,9.52,90.48
Maramures,Borșa,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0.0,0.0,100.0
Maramures,Sighetu Marmației,7,7,100.0,2,28.57,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,7,100.0,0.0,0.0,100.0
Mures,Reghin,9,7,77.78,1,11.11,0,0.0,5,55.56,1,11.11,0,0.0,0,0.0,0,0.0,8,88.89,0.0,11.11,88.89
Mures,Târgu Mureș,35,30,85.71,16,45.71,4,11.43,7,20.0,5,14.29,1,2.86,2,5.71,1,2.86,31,88.57,0.0,11.43,88.57
Prahova,Câmpina,6,4,66.67,1,16.67,1,16.67,4,66.67,0,0.0,0,0.0,0,0.0,0,0.0,4,66.67,0.0,33.33,66.67
Prahova,Ploiești,36,33,91.67,21,58.33,7,19.44,10,27.78,7,19.44,0,0.0,3,8.33,1,2.78,33,91.67,0.0,8.33,91.67
Sibiu,Sibiu,45,36,80.0,25,55.56,5,11.11,12,26.67,3,6.67,2,4.44,3,6.67,1,2.22,35,77.78,0.0,22.22,77.78
Sibiu,Șelimbăr,5,4,80.0,3,60.0,0,0.0,0,0.0,2,40.0,1,20.0,0,0.0,0,0.0,3,60.0,0.0,40.0,60.0
Suceava,Rădăuți,4,4,100.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0.0,0.0,100.0
Suceava,Suceava,13,9,69.23,4,30.77,2,15.38,2,15.38,0,0.0,0,0.0,0,0.0,0,0.0,13,100.0,0.0,0.0,100.0
Timis,Dumbrăvița,10,9,90.0,5,50.0,1,10.0,2,20.0,1,10.0,0,0.0,0,0.0,0,0.0,8,80.0,0.0,20.0,80.0
