entity_id,name,category_raw,address_clean,postcode_digits,county,city_market,lat,lon,website,phones,emails,maps_url,open_status_norm,working_hours,facebook,instagram,whatsapp,youtube,tiktok
LDI1-RO-FI-EKA6-PGE1-89,Royal Fitness Club,Sală de fitness,Bucuresti,000000,Bucuresti,București,44.4351028,26.0253667,https://www.royalfitnessclub.ro/,+40755016043,royalfitnessclub@gmail.com,"https://www.google.com/maps/place/Royal+Fitness+Club/@44.4351028,26.0253667,17z/data=!3m1!4b1!4m6!3m5!1s0x40b201b100a3f06f:0x9e563794eb44f1e4!8m2!3d44.4351028!4d26.0279416!16s%2Fg%2F11cfghdvg?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",open,,https://www.facebook.com/royalfitnesscluboficial,https://www.instagram.com/fitnessclubroyal,,,
LDI1-RO-FI-1XAT-1WCA-20,X-Trend Fitness,Sală de fitness,"Strada Democrației 12, Voluntari",077190,Ilfov,Voluntari,44.4983802,26.1777488,,+40775611549,,"https://www.google.com/maps/place/X-Trend+Fitness/@44.4983802,26.1777488,17z/data=!3m1!4b1!4m6!3m5!1s0x40b1f9ea986ba63b:0xda864b9dde75b09!8m2!3d44.4983802!4d26.1777488!16s%2Fg%2F11l1ktp_ch?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",open,sâmbătă: 08–17; duminică: Închis; luni: 08–22; marți: 08–22; miercuri: 08–22; joi: 08–22; vineri: 08–22,,,,,
LDI1-RO-FI-1EMC-PTHQ-70,KomFitness & SPA,Sală de fitness,"Str. Popești Vest 13, Popesti Leordeni",077160,Ilfov,Popești-Leordeni,44.364367,26.148218,https://komfitness.ro/fitness-spa/,+40761111838,,https://www.google.com/maps/place/KomFitness+%26+SPA/data=!4m7!3m6!1s0x40b1fdfa644c3517:0xa63c19b0406fd41d!8m2!3d44.364367!4d26.148218!16s%2Fg%2F11sf9s_7sx!19sChIJFzVMZPr9sUARHdRvQLAZPKY?authuser=0&hl=ro&rclk=1,open,sâmbătă: 08–20; duminică: 08–20; luni: 06–23; marți: 06–23; miercuri: 06–23; joi: 06–23; vineri: 06–23,,,,,
LDI1-RO-FI-N8MP-H7QS-64,PT Center Fitness,Sală de fitness,"Cheiul Dâmboviței 26, Popești-Leordeni",077160,Bucuresti,București,44.3878504,26.1932062,https://ptcenter.ro/,+40767406145,receptieptcenter@gmail.com,https://www.google.com/maps/place/PT+Center+Fitness/data=!4m7!3m6!1s0x40b1fd6a55a9ac2f:0x110b51ca43070e21!8m2!3d44.3878504!4d26.1932062!16s%2Fg%2F11t_lt2fth!19sChIJL6ypVWr9sUARIQ4HQ8pRCxE?authuser=0&hl=ro&rclk=1,open,sâmbătă: 05–22; duminică: 05–22; luni: 05–22; marți: 05–22; miercuri: 05–22; joi: 05–22; vineri: 05–22,https://www.facebook.com/ptcentersrl,,,,https://www.tiktok.com/@cristianchirita327
LDI1-RO-FI-62Z4-5A5C-25,Stay Fit Gym Popesti Leordeni,Sală de fitness,"Str. Popești Vest 37, Popesti Leordeni",077160,Ilfov,Popești-Leordeni,44.3601337,26.1520562,,+40774049242,,https://www.google.com/maps/place/Stay+Fit+Gym+Popesti+Leordeni/data=!4m7!3m6!1s0x40b1fdb4c0953f33:0xa8fb87955c2888db!8m2!3d44.3601337!4d26.1520562!16s%2Fg%2F11ybtrnn6w!19sChIJMz-VwLT9sUAR24goXJWH-6g?authuser=0&hl=ro&rclk=1,open,sâmbătă: 09–19; duminică: 09–19; luni: 07–23; marți: 07–23; miercuri: 07–23; joi: 07–23; vineri: 07–23,,,,,
LDI1-RO-FI-K9N1-MNCN-89,Get Fit 113,Sală de fitness,"Strada Solstițiului 2A, Bucuresti",077160,Bucuresti,București,44.3718804,26.1535817,https://www.get-fit.ro/,+40761003425,office@get-fit.ro,https://www.google.com/maps/place/Get+Fit+113/data=!4m7!3m6!1s0x40b1fdf15cae47a7:0xf8218ba300df0d10!8m2!3d44.3718804!4d26.1535817!16s%2Fg%2F11cm0kk22_!19sChIJp0euXPH9sUAREA3fAKOLIfg?authuser=0&hl=ro&rclk=1,open,sâmbătă: 09–17; duminică: 09–16; luni: 07–22; marți: 07–22; miercuri: 07–22; joi: 07–22; vineri: 07–22,https://www.facebook.com/GetFit113,https://www.instagram.com/getfit_113,,,
LDI1-RO-FI-1H5S-9YYX-56,KomFitness II,Sală de fitness,"Str. Amurgului 55, Popesti Leordeni",077160,Ilfov,Popești-Leordeni,44.36912,26.148081,https://komfitness.ro/,+40314207908,,https://www.google.com/maps/place/KomFitness+II/data=!4m7!3m6!1s0x40b1fd386afbecfd:0x7210e3f488f2c00c!8m2!3d44.36912!4d26.148081!16s%2Fg%2F11g1gl7864!19sChIJ_ez7ajj9sUARDMDyiPTjEHI?authuser=0&hl=ro&rclk=1,open,sâmbătă: 08–17; duminică: 10–17; luni: 07–22:30; marți: 07–22:30; miercuri: 07–22:30; joi: 07–22:30; vineri: 07–22:30,,,,,
LDI1-RO-FI-8FZW-RANW-44,Flame Gym,Sală de fitness,"Strada Obedenaru 9-11, Arad",310389,Arad,Arad,46.1928476,21.3020976,,+40742847469,,https://www.google.com/maps/place/Flame+Gym/data=!4m7!3m6!1s0x4745995b8901ed9d:0xab5609510c53c4a3!8m2!3d46.1928476!4d21.3020976!16s%2Fg%2F11pdnzwnfk!19sChIJne0BiVuZRUcRo8RTDFEJVqs?authuser=0&hl=ro&rclk=1,open,sâmbătă: 09–17; duminică: 10–14; luni: 07:30–21:30; marți: 07:30–21:30; miercuri: 07:30–21:30; joi: 07:30–21:30; vineri: 07:30–21:30,,,,,
LDI1-RO-FI-1ZBP-0TPK-41,Drast Gym,Sală de fitness,"Strada Independenței 7, Arad",310465,Arad,Arad,46.1929435,21.2776927,https://www.drastgym.ro/,+40784777197,drast.gym@gmail.com,https://www.google.com/maps/place/Drast+Gym/data=!4m7!3m6!1s0x474599aa71b3036d:0xa82a7303fb41c66c!8m2!3d46.1929435!4d21.2776927!16s%2Fg%2F11l_bpm8ym!19sChIJbQOzcaqZRUcRbMZB-wNzKqg?authuser=0&hl=ro&rclk=1,open,sâmbătă: 09–15; duminică: 09–15; luni: 06–22; marți: 06–22; miercuri: 06–22; joi: 06–22; vineri: 06–22,https://www.facebook.com/DrastGymArad,https://www.instagram.com/drastgym,,,
LDI1-RO-FI-1N1K-3JJT-59,Endorphin Gym,Sală de fitness,"Strada Sighișoara 6, Arad",310308,Arad,Arad,46.1695792,21.3517609,,+40741560753,,https://www.google.com/maps/place/Endorphin+Gym/data=!4m7!3m6!1s0x4745999e755dc6e5:0xef1eee2ee65e39fb!8m2!3d46.1695792!4d21.3517609!16s%2Fg%2F11c1vkk39l!19sChIJ5cZddZ6ZRUcR-zle5i7uHu8?authuser=0&hl=ro&rclk=1,open,sâmbătă: 09:30–17:30; duminică: 08–20; luni: 08–22; marți: 08–22; miercuri: 08–22; joi: 08–22; vineri: 08–22,https://m.facebook.com/endorphingymarad,,,,
LDI1-RO-FI-Q3H3-YSMG-34,18GYM ARAD,Sală de fitness,"Calea Aurel Vlaicu 225-235, Arad",310375,Arad,Arad,46.2010752,21.2883096,https://18gym.ro/,+40770876797,,https://www.google.com/maps/place/18GYM+ARAD/data=!4m7!3m6!1s0x474599cee8463c09:0x92bb399c69564e92!8m2!3d46.2010752!4d21.2883096!16s%2Fg%2F11x1_f7gmt!19sChIJCTxG6M6ZRUcRkk5WaZw5u5I?authuser=0&hl=ro&rclk=1,open,sâmbătă: 09–21; duminică: 10–21; luni: 06–23; marți: 06–23; miercuri: 06–23; joi: 06–23; vineri: 06–23,,,,,
LDI1-RO-FI-BFXP-EGAH-47,Uzina,Sală de fitness,"Splaiul Unirii nr. 160, Bucuresti",040041,Bucuresti,București,44.4116403,26.1180163,https://uzina.unloc.ro/,+40727226255,,https://www.google.com/maps/place/Uzina/data=!4m7!3m6!1s0x40b1fedaebc59fcb:0x23a33f7847fc6058!8m2!3d44.4116403!4d26.1180163!16s%2Fg%2F12mkw8x2k!19sChIJy5_F69r-sUARWGD8R3g_oyM?authuser=0&hl=ro&rclk=1,open,sâmbătă: 10–12:30; duminică: Închis; luni: 07–09; marți: 07–09; miercuri: 07–09; joi: 07–09; vineri: 07–09,,,,,
LDI1-RO-FI-FH17-MRMJ-88,OneFit Club(Befit Club),Sală de fitness,"Strada Istriei 1B, Bucuresti",031941,Bucuresti,București,44.4162406,26.1415176,https://www.onefitclub.ro/,+40738471485,,https://www.google.com/maps/place/OneFit+Club%28Befit+Club%29/data=!4m7!3m6!1s0x40b1ff77fac64e8d:0x1fc4a3865966b852!8m2!3d44.4162406!4d26.1415176!16s%2Fg%2F11j4qr7899!19sChIJjU7G-nf_sUARUrhmWYajxB8?authuser=0&hl=ro&rclk=1,open,sâmbătă: 09–19; duminică: 10–18; luni: 07–22; marți: 07–22; miercuri: 07–22; joi: 07–22; vineri: 07–22,,,,,
LDI1-RO-FI-174R-J760-56,CrossFit Nord BVS,Sală de fitness,"67-77 Biharia Street, Metav Alinso, Corp D1, Bucuresti",013981,Bucuresti,București,44.4927358,26.0944907,,,,https://www.google.com/maps/place/CrossFit+Nord+BVS/data=!4m7!3m6!1s0x40b202f49dac88cb:0xe3f26d40d1f6e65!8m2!3d44.4927358!4d26.0944907!16s%2Fg%2F11c58g6pvm!19sChIJy4isnfQCskARZW4fDdQmPw4?authuser=0&hl=ro&rclk=1,open,sâmbătă: 10:30–12; duminică: Închis; luni: 07–20:30; marți: 07:30–08:30; miercuri: 07–20:30; joi: 07:30–08:30; vineri: 07–19:30,,,,,
LDI1-RO-FI-NJE6-MGCV-50,THE FORGE Sports,Sală de fitness,"93-95 Lanariei Street, ground floor, spaces 6&7, Bucuresti",040323,Bucuresti,București,44.4153308,26.1036326,https://www.theforge.ro/,+40753514202,mihai@theforge.ro,https://www.google.com/maps/place/THE+FORGE+Sports/data=!4m7!3m6!1s0x40b1ff99ad8bbb65:0x7d0498ba1c34012b!8m2!3d44.4153308!4d26.1036326!16s%2Fg%2F11h4b9697r!19sChIJZbuLrZn_sUARKwE0HLqYBH0?authuser=0&hl=ro&rclk=1,unspecified,,https://www.facebook.com/theforgesports,https://www.instagram.com/forge.sports,,,
LDI1-RO-FI-10RR-GB48-34,Groove BOX,Sală de fitness,"Calea Rahovei 198, Calea Rahovei 196, Bucuresti",050908,Bucuresti,București,44.4193026,26.0809958,https://groovebox.ro/,+40750435289,office@groovebox.ro,https://www.google.com/maps/place/Groove+BOX/data=!4m7!3m6!1s0x40b1ff74f4bffaab:0x2d8d0bb3449ba97a!8m2!3d44.4193026!4d26.0809958!16s%2Fg%2F11bbt5v5sk!19sChIJq_q_9HT_sUAReqmbRLMLjS0?authuser=0&hl=ro&rclk=1,open,sâmbătă: 10–13:30; duminică: Închis; luni: 08:30–21; marți: 12–21; miercuri: 08:30–21; joi: 12–21; vineri: 08:30–21,,,,https://www.youtube.com/@groovebox2014,
LDI1-RO-FI-J63Q-YEGY-69,CrossFit ROA,Sală de fitness,"Strada Lebedei 10, București",011151,Bucuresti,București,44.4527436,26.0800026,https://www.crossfitroa.com/,+40728066448,,https://www.google.com/maps/place/CrossFit+ROA/data=!4m7!3m6!1s0x40b203dbc064549b:0xfbc852ee5b6f10cf!8m2!3d44.4527436!4d26.0800026!16s%2Fg%2F11h4xgyqpf!19sChIJm1RkwNsDskARzxBvW-5SyPs?authuser=0&hl=ro&rclk=1,open,sâmbătă: 10–13; duminică: Închis; luni: 07:30–09:30; marți: 17–21; miercuri: 07:30–09:30; joi: 17–21; vineri: 07:30–09:30,,,,,
LDI1-RO-FI-17VE-H7GT-01,Area Gym,Sală de fitness,"Strada Andrei Mureşanu 8, Baia Mare",430312,Maramures,Baia Mare,47.6567439,23.5805331,https://areagym.ro/,+40753938440,,https://www.google.com/maps/place/Area+Gym/data=!4m7!3m6!1s0x4737dd43dfe6639d:0x38e50d4da00ed184!8m2!3d47.6567439!4d23.5805331!16s%2Fg%2F11swzq759g!19sChIJnWPm30PdN0cRhNEOoE0N5Tg?authuser=0&hl=ro&rclk=1,open,sâmbătă: 10–18; duminică: 10–18; luni: 06–22; marți: 06–22; miercuri: 06–22; joi: 06–22; vineri: 06–22,,,,,
